SDAccel Timeline Trace
Generated on: 2019-03-21 11:09:24
Msec since Epoch: 1553137764524
Profiled application: Xilinx_fpgacnn_pipeleftsecond.exe
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
0.744721,clGetPlatformIDs|General,START,,,,,,,,,
0.797935,clGetPlatformIDs|General,END,,,,,,,,,
0.812423,clGetPlatformIDs|General,START,,,,,,,,,
0.823833,clGetPlatformIDs|General,END,,,,,,,,,
0.835911,clGetPlatformInfo|General,START,,,,,,,,,
0.850028,clGetPlatformInfo|General,END,,,,,,,,,
0.861422,clGetPlatformInfo|General,START,,,,,,,,,
0.872448,clGetPlatformInfo|General,END,,,,,,,,,
0.889942,clGetDeviceIDs|General,START,,,,,,,,,
0.902898,clGetDeviceIDs|General,END,,,,,,,,,
0.917536,clGetDeviceInfo|General,START,,,,,,,,,
0.932886,clGetDeviceInfo|General,END,,,,,,,,,
0.944334,clGetDeviceInfo|General,START,,,,,,,,,
0.955582,clGetDeviceInfo|General,END,,,,,,,,,
0.970142,clCreateContext|General,START,,,,,,,,,
2035.943228,clGetPlatformIDs|General,START,,,,,,,,,
2036.021215,clGetPlatformIDs|General,END,,,,,,,,,
2036.059951,clCreateContext|General,END,,,,,,,,,
2036.089577,clCreateCommandQueue|General,START,,,,,,,,,
2036.118741,clCreateCommandQueue|General,END,,,,,,,,,
2048.164565,clCreateProgramWithBinary|General,START,,,,,,,,,
4916.534204,clCreateProgramWithBinary|General,END,,,,,,,,,
4916.614809,clBuildProgram|General,START,,,,,,,,,
4916.645384,clBuildProgram|General,END,,,,,,,,,
4917.137408,clCreateKernel|General,START,,,,,,,,,
4917.189946,clCreateKernel|General,END,,,,,,,,,
4917.255038,clCreateBuffer|General,START,,,,,,,,,
4917.30997,clCreateBuffer|General,END,,,,,,,,,
4917.361841,clCreateBuffer|General,START,,,,,,,,,
4917.396219,clCreateBuffer|General,END,,,,,,,,,
4917.417512,clCreateBuffer|General,START,,,,,,,,,
4917.442785,clCreateBuffer|General,END,,,,,,,,,
4917.466034,clEnqueueWriteBuffer|37139880,START,,,,,,,,,
4917.529255,WRITE_BUFFER,QUEUE,0X238AB40,73984,,,,,,,
4917.616621,WRITE_BUFFER,SUBMIT,0X238AB40,73984,,,,,,,
4917.805061,WRITE_BUFFER,START,0X238AB40,73984,,,,,,,
4917.970304,WRITE_BUFFER,END,0X238AB40,73984,,,,,,,
4918.003856,clEnqueueWriteBuffer|37139880,END,,,,,,,,,
4918.074542,clEnqueueWriteBuffer|37139880,START,,,,,,,,,
4918.103496,WRITE_BUFFER,QUEUE,0X2389D70,221184,,,,,,,
4918.152121,WRITE_BUFFER,SUBMIT,0X2389D70,221184,,,,,,,
4918.306154,WRITE_BUFFER,START,0X2389D70,221184,,,,,,,
4918.633888,WRITE_BUFFER,END,0X2389D70,221184,,,,,,,
4918.636911,clEnqueueWriteBuffer|37139880,END,,,,,,,,,
4918.73157,clSetKernelArg|General,START,,,,,,,,,
4918.760979,clSetKernelArg|General,END,,,,,,,,,
4918.78093,clSetKernelArg|General,START,,,,,,,,,
4918.801173,clSetKernelArg|General,END,,,,,,,,,
4918.820265,clSetKernelArg|General,START,,,,,,,,,
4918.839839,clSetKernelArg|General,END,,,,,,,,,
4918.858526,clSetKernelArg|General,START,,,,,,,,,
4918.87803,clSetKernelArg|General,END,,,,,,,,,
4918.89683,clSetKernelArg|General,START,,,,,,,,,
4918.916313,clSetKernelArg|General,END,,,,,,,,,
4918.934811,clSetKernelArg|General,START,,,,,,,,,
4918.954134,clSetKernelArg|General,END,,,,,,,,,
4919.05373,clEnqueueNDRangeKernel|37139880,START,,,,,,,,,
4919.122419,clEnqueueNDRangeKernel|37139880,END,,,,,,,,,
4919.149702,clFinish|General,START,,,,,,,,,
4919.65022,KERNEL|xilinx:adm-pcie-7v3:1ddr:3.0-0|cnn_GOOD|good_cnn|1:1:1|good_cnn_1,START,0X2388338,1,,,,,,,
4920.020807,KERNEL|xilinx:adm-pcie-7v3:1ddr:3.0-0|cnn_GOOD|good_cnn|1:1:1|good_cnn_2,START,0X2388338,1,,,,,,,
4920.156899,KERNEL|xilinx:adm-pcie-7v3:1ddr:3.0-0|cnn_GOOD|good_cnn|1:1:1|good_cnn_3,START,0X2388338,1,,,,,,,
