SDAccel Timeline Trace
Generated on: 2019-03-21 19:56:15
Msec since Epoch: 1553169375868
Profiled application: Xilinx_fpgacnn_partition_new.exe
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
0.425268,clGetPlatformIDs|General,START,,,,,,,,,
0.488324,clGetPlatformIDs|General,END,,,,,,,,,
0.503138,clGetPlatformIDs|General,START,,,,,,,,,
0.514402,clGetPlatformIDs|General,END,,,,,,,,,
0.526659,clGetPlatformInfo|General,START,,,,,,,,,
0.540365,clGetPlatformInfo|General,END,,,,,,,,,
0.551949,clGetPlatformInfo|General,START,,,,,,,,,
0.563047,clGetPlatformInfo|General,END,,,,,,,,,
0.580277,clGetDeviceIDs|General,START,,,,,,,,,
0.593319,clGetDeviceIDs|General,END,,,,,,,,,
0.607903,clGetDeviceInfo|General,START,,,,,,,,,
0.623459,clGetDeviceInfo|General,END,,,,,,,,,
0.634521,clGetDeviceInfo|General,START,,,,,,,,,
0.648383,clGetDeviceInfo|General,END,,,,,,,,,
0.6631,clCreateContext|General,START,,,,,,,,,
2020.356477,clGetPlatformIDs|General,START,,,,,,,,,
2020.434429,clGetPlatformIDs|General,END,,,,,,,,,
2020.472326,clCreateContext|General,END,,,,,,,,,
2020.501052,clCreateCommandQueue|General,START,,,,,,,,,
2020.530408,clCreateCommandQueue|General,END,,,,,,,,,
2039.102527,clCreateProgramWithBinary|General,START,,,,,,,,,
5058.421403,clCreateProgramWithBinary|General,END,,,,,,,,,
5058.508556,clBuildProgram|General,START,,,,,,,,,
5058.540423,clBuildProgram|General,END,,,,,,,,,
5059.222686,clCreateKernel|General,START,,,,,,,,,
5059.278602,clCreateKernel|General,END,,,,,,,,,
5059.372803,clCreateBuffer|General,START,,,,,,,,,
5059.441007,clCreateBuffer|General,END,,,,,,,,,
5059.465217,clCreateBuffer|General,START,,,,,,,,,
5059.49446,clCreateBuffer|General,END,,,,,,,,,
5059.517413,clCreateBuffer|General,START,,,,,,,,,
